Date,Less_than_HS,HS_Graduates,Some_College_or_associates,Bachelor's_or_above,Highlights
Jan-06,0.142,0.071,0.05,0.026,
Feb-06,0.143,0.071,0.051,0.025,
Mar-06,0.149,0.072,0.052,0.025,
Apr-06,0.154,0.072,0.053,0.023,
May-06,0.151,0.069,0.053,0.022,
Jun-06,0.15,0.068,0.053,0.022,
Jul-06,0.153,0.068,0.052,0.023,
Aug-06,0.153,0.069,0.052,0.024,
Sep-06,0.157,0.071,0.053,0.024,
Oct-06,0.154,0.073,0.053,0.024,
Nov-06,0.149,0.076,0.052,0.024,
Dec-06,0.147,0.078,0.052,0.024,
Jan-07,0.139,0.08,0.053,0.025,
Feb-07,0.137,0.082,0.052,0.025,
Mar-07,0.125,0.088,0.05,0.024,
Apr-07,0.124,0.086,0.05,0.024,
May-07,0.131,0.084,0.051,0.024,
Jun-07,0.13,0.089,0.05,0.025,
Jul-07,0.133,0.088,0.049,0.026,
Aug-07,0.133,0.084,0.05,0.026,
Sep-07,0.133,0.082,0.051,0.025,
Oct-07,0.139,0.083,0.052,0.026,
Nov-07,0.145,0.083,0.051,0.025,
Dec-07,0.147,0.083,0.05,0.026,
Jan-08,0.151,0.083,0.05,0.026,
Feb-08,0.146,0.081,0.05,0.028,
Mar-08,0.146,0.079,0.052,0.028,
Apr-08,0.148,0.078,0.054,0.029,
May-08,0.153,0.079,0.056,0.03,
Jun-08,0.154,0.079,0.058,0.029,
Jul-08,0.144,0.08,0.06,0.029,
Aug-08,0.139,0.083,0.06,0.03,
Sep-08,0.136,0.085,0.06,0.031,
Oct-08,0.137,0.088,0.061,0.031,
Nov-08,0.14,0.089,0.065,0.033,
Dec-08,0.134,0.094,0.068,0.034,
Jan-09,0.132,0.1,0.071,0.038,
Feb-09,0.14,0.105,0.077,0.038,
Mar-09,0.149,0.111,0.083,0.04,
Apr-09,0.15,0.118,0.088,0.042,
May-09,0.155,0.122,0.092,0.045,
Jun-09,0.167,0.131,0.098,0.049,
Jul-09,0.192,0.136,0.104,0.053,
Aug-09,0.206,0.142,0.11,0.056,
Sep-09,0.217,0.149,0.118,0.059,
Oct-09,0.218,0.152,0.124,0.061,
Nov-09,0.217,0.154,0.13,0.061,
Dec-09,0.219,0.155,0.134,0.063,
Jan-10,0.229,0.156,0.135,0.061,
Feb-10,0.231,0.16,0.135,0.062,
Mar-10,0.222,0.164,0.134,0.062,
Apr-10,0.226,0.168,0.133,0.061,
May-10,0.22,0.17,0.13,0.059,
Jun-10,0.212,0.17,0.125,0.058,
Jul-10,0.2,0.17,0.123,0.057,
Aug-10,0.191,0.169,0.121,0.056,
Sep-10,0.192,0.166,0.118,0.055,
Oct-10,0.196,0.163,0.117,0.054,
Nov-10,0.196,0.162,0.112,0.054,
Dec-10,0.202,0.158,0.108,0.053,
Jan-11,0.199,0.155,0.105,0.052,
Feb-11,0.198,0.15,0.104,0.05,
Mar-11,0.205,0.145,0.102,0.049,
Apr-11,0.209,0.141,0.099,0.049,
May-11,0.215,0.139,0.098,0.048,
Jun-11,0.217,0.137,0.096,0.046,
Jul-11,0.222,0.135,0.096,0.044,
Aug-11,0.224,0.133,0.096,0.044,
Sep-11,0.215,0.13,0.095,0.042,
Oct-11,0.214,0.126,0.091,0.041,
Nov-11,0.21,0.123,0.09,0.039,
Dec-11,0.203,0.125,0.089,0.038,
Jan-12,0.196,0.126,0.087,0.038,
Feb-12,0.198,0.126,0.086,0.038,
Mar-12,0.189,0.125,0.084,0.037,
Apr-12,0.178,0.121,0.085,0.038,
May-12,0.176,0.118,0.084,0.04,
Jun-12,0.176,0.113,0.083,0.04,
Jul-12,0.172,0.111,0.082,0.04,
Aug-12,0.173,0.111,0.08,0.039,
Sep-12,0.174,0.108,0.08,0.039,
Oct-12,0.17,0.108,0.08,0.04,
Nov-12,0.167,0.106,0.08,0.041,
Dec-12,0.155,0.103,0.082,0.042,
Jan-13,0.155,0.098,0.083,0.043,
Feb-13,0.146,0.096,0.082,0.043,
Mar-13,0.148,0.094,0.082,0.044,
Apr-13,0.152,0.094,0.079,0.044,
May-13,0.148,0.091,0.078,0.043,
Jun-13,0.141,0.092,0.079,0.045,
Jul-13,0.138,0.09,0.076,0.045,
Aug-13,0.131,0.088,0.075,0.046,
Sep-13,0.122,0.091,0.073,0.047,
Oct-13,0.123,0.094,0.072,0.047,
Nov-13,0.125,0.094,0.073,0.046,
Dec-13,0.138,0.093,0.07,0.045,
Jan-14,0.133,0.092,0.067,0.045,
Feb-14,0.132,0.087,0.07,0.045,
Mar-14,0.128,0.086,0.071,0.044,
Apr-14,0.123,0.083,0.072,0.043,
May-14,0.122,0.084,0.072,0.041,
Jun-14,0.122,0.082,0.072,0.04,
Jul-14,0.114,0.08,0.073,0.039,
Aug-14,0.108,0.078,0.073,0.035,
Sep-14,0.106,0.074,0.075,0.033,
Oct-14,0.098,0.07,0.074,0.033,
Nov-14,0.101,0.068,0.071,0.033,
Dec-14,0.098,0.064,0.071,0.034,
Jan-15,0.105,0.063,0.073,0.032,
Feb-15,0.106,0.06,0.069,0.031,
Mar-15,0.108,0.057,0.067,0.031,
Apr-15,0.111,0.055,0.063,0.03,
May-15,0.117,0.055,0.06,0.03,
Jun-15,0.115,0.056,0.057,0.027,
Jul-15,0.111,0.056,0.054,0.026,
Aug-15,0.114,0.058,0.052,0.027,
Sep-15,0.116,0.058,0.047,0.025,
Oct-15,0.114,0.058,0.049,0.023,
Nov-15,0.114,0.056,0.049,0.02,
Dec-15,0.11,0.056,0.049,0.019,
Jan-16,0.107,0.052,0.048,0.019,
Feb-16,0.104,0.051,0.049,0.019,
Mar-16,0.098,0.051,0.05,0.018,
Apr-16,0.099,0.051,0.049,0.018,
May-16,0.089,0.049,0.049,0.017,
Jun-16,0.089,0.048,0.048,0.018,
Jul-16,0.097,0.048,0.047,0.018,
Aug-16,0.093,0.047,0.047,0.018,
Sep-16,0.094,0.047,0.047,0.018,
Oct-16,0.096,0.049,0.043,0.019,
Nov-16,0.094,0.05,0.042,0.019,
Dec-16,0.098,0.053,0.04,0.019,
Jan-17,0.101,0.059,0.038,0.019,
Feb-17,0.107,0.063,0.036,0.019,
Mar-17,0.11,0.063,0.034,0.02,
Apr-17,0.1,0.062,0.034,0.02,
May-17,0.099,0.061,0.034,0.02,
Jun-17,0.093,0.057,0.035,0.018,
Jul-17,0.083,0.057,0.036,0.018,
Aug-17,0.081,0.055,0.037,0.019,
Sep-17,0.082,0.053,0.038,0.02,
Oct-17,0.081,0.05,0.039,0.021,
Nov-17,0.078,0.048,0.039,0.022,
Dec-17,0.075,0.047,0.041,0.023,
Jan-18,0.071,0.045,0.043,0.021,
Feb-18,0.069,0.043,0.045,0.021,
Mar-18,0.073,0.042,0.044,0.02,
Apr-18,0.079,0.041,0.045,0.021,
May-18,0.08,0.039,0.045,0.021,
Jun-18,0.079,0.04,0.044,0.022,
Jul-18,0.082,0.04,0.043,0.023,
Aug-18,0.079,0.037,0.041,0.022,
Sep-18,0.08,0.037,0.04,0.021,"Over the year, the unemployment rate inched up for those with some college education and a bachelor's degree, but decreased for those with high school diploma or less . In September, the unemployment rate for those with less than a high school diploma was at 8.0 percent, and 3.7 percent for those with a high school diploma. The jobless rate for those with some college experience or an associate’s degree inched down to 4.0 percent and down to 2.1 percent for those with a bachelor's degree."
Oct-18,0.082,0.039,0.04,0.021,"Over the year, the unemployment rate inched up for those with some college education and a bachelor's degree, but decreased for those with high school diploma or less . In October, the unemployment rate for those with less than a high school diploma was at 8.2 percent, and 3.9 percent for those with a high school diploma. The jobless rate for those with some college experience or an associate’s degree inched down to 4.0 percent and down to 2.1 percent for those with a bachelor's degree."
Nov-18,0.081,0.04,0.04,0.021,"The unemployment rate varies widely based on education level. Individuals with more education tend to have a lower jobless rate than those with less, demonstrating the crucial role of education in improving labor market outcomes.  The jobless rate for those with less than a high school diploma was at 8.1 percent in November; the rate has increased one percentage point since January 2018. Meanwhile, those with a high school diploma saw a drop in their unemployment by 0.5 percentage points to 4 percent since January. Those with an associate’s degree also observed a rate of 4 percent in November which was down slightly from January. The unemployment rate for individuals with a bachelor’s degree has held steady at 2.1 percent, which is slightly over half that of those with other college experience and is 6 percent less than those without a high school diploma."
Dec-18,0.083,0.038,0.039,0.021,"The unemployment rate varies widely based on education level. Individuals with more education tend to have a lower jobless rate than those with less, demonstrating the crucial role of education in improving labor market outcomes.  The jobless rate for those with less than a high school diploma was at 8.3 percent in December; the rate has increased 1.2 percentage points since January 2018. Meanwhile, those with a high school diploma saw a drop in their unemployment by 0.7 percentage points to 3.8 percent since January. Those with an associate’s degree observed a rate of 3.9 percent in December which was down slightly from January. The unemployment rate for individuals with a bachelor’s degree has held steady at 2.1 percent, which is slightly over half that of those with other college experience and is 6.2 percentage points less than those without a high school diploma."
Jan-19,0.083,0.036,0.038,0.022,"The unemployment rate varies widely based on education level. Individuals with more education tend to have a lower jobless rate than those with less, demonstrating the crucial role of education in improving labor market outcomes.  The jobless rate for those with less than a high school diploma was at 8.3 percent in January; the rate has increased 1.2 percentage points since January 2018. Meanwhile, those with a high school diploma saw a drop in their unemployment by 0.9 percentage points to 3.6 percent since January. Those with an associate’s degree observed a rate of 3.8 percent in January which was down slightly from December. The unemployment rate for individuals with a bachelor’s degree increased slightly to 2.2 percent, which is slightly over half that of those with other college experience and is 6.1 percentage points less than those without a high school diploma."
Feb-19,0.083,0.036,0.037,0.021,"The unemployment rate varies widely based on education level. Individuals with more education tend to have a lower jobless rate than those with less, demonstrating the crucial role of education in improving labor market outcomes.  The jobless rate for those with less than a high school diploma was at 8.3 percent in February; the rate has increased 1.4 percentage points since February 2018. Meanwhile, those with a high school diploma saw a drop in their unemployment by 0.7 percentage points to 3.6 percent since February 2018. Those with an associate’s degree observed a rate of 3.7 percent in February which was down slightly from January. The unemployment rate for individuals with a bachelor’s degree decreased slightly to 2.1 percent, which is slightly over half that of those with other college experience and is 6.2 percentage points less than those without a high school diploma."
